,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ID=FBgn0266445,1389.1832339922214,-0.33295668320486804,0.21125966347011332,-1.5760542156310453,0.11501330922909603,0.473864878854376
ID=FBgn0266449,2174.26519513198,0.00271696552038006,0.11508288621187761,0.023608771119781352,0.9811646757604834,0.997566148455351
ID=FBgn0266450,1697.180452307011,-0.3066205215612328,0.18161783358832284,-1.6882732025989053,0.09135879680431575,0.41490745985497907
ID=FBgn0266452,1668.9423531834532,-0.08607075010723511,0.09517247620984098,-0.904365984105132,0.365801368998356,0.7916693641995233
ID=FBgn0266465,1095.441687662836,-0.03721466868683645,0.1488282928920042,-0.2500510350800093,0.8025478816093894,0.9638152021097848
ID=FBgn0266486,1680.3272306074934,-0.009837115785568125,0.11254415072462028,-0.08740672635789101,0.9303482229833931,0.9887084856930769
ID=FBgn0266487,1164.0945808546528,0.19679964972797054,0.27251324663835563,0.7221654439027604,0.4701927661525622,0.8586429750133453
ID=FBgn0266488,1424.2621086612246,-0.1053146870923552,0.30807012779423193,-0.3418529665514912,0.732461546665059,0.9469994907399386
ID=FBgn0266489,1791.0195203938977,0.07830823633144038,0.09420200033480161,0.8312799733883198,0.4058154853017073,0.8254195425288189
ID=FBgn0266490,1009.5138600792319,-0.05782401119516988,0.14155223739793965,-0.4084994505075307,0.6829070338796842,0.935835564946234
ID=FBgn0266518,1088.7726459165683,0.042876913704123144,0.15522003355812802,0.27623311708708176,0.7823690226396331,0.9601949514595928
ID=FBgn0266521,1914.1486436465905,-0.13200825462334825,0.18145137454274504,-0.7275131144969678,0.4669116844524971,0.8586429750133453
ID=FBgn0266525,1839.9666337790095,0.7931994113830282,0.09013410225896513,8.80021425302578,1.3655519288453093e-18,2.8631072108123315e-16
ID=FBgn0266538,1034.4184625097653,-0.15182226505849358,0.15656496679398788,-0.9697077715876576,0.33219217557423286,0.7680853787585814
ID=FBgn0266539,943.0299213261471,0.11047589822392523,0.09926916053820824,1.1128924393533435,0.2657546275970838,0.7135951366427565
ID=FBgn0266540,328.4369264614956,-0.24578055858124764,0.17406448080145362,-1.4120086846528836,0.1579474040462332,0.5618223401229822
